> Miller, K.G. et al, 2024. Global mean and relative sea-level changes over the past 66 Myr: implications for early Eocene ice sheets. Earth Science, Systems and Society, 4(1), p.10091.
> Age (Ma)	sea level (m)
1.8652112	-45.67190171
1.8667985	-50.78602879
1.8683859	-39.6537274
1.8699733	-31.77347609
1.8715606	-28.99973431
1.873148	-29.93813762
1.8747891	-33.65951166
1.8765556	-29.49685952
1.8783222	-12.81710417
1.880261	-10.51563696
1.8820562	-15.62948985
1.8838475	-20.27797132
1.8856376	-15.19552677
1.887426	-20.30564321
1.8892145	-16.61454788
1.8910101	-14.31409487
1.8929186	-14.33024365
1.8967355	-18.06461158
1.8986439	-31.03431339
1.9009651	-34.28774819
1.9033535	-35.69041956
1.9057419	-29.69571063
1.9081214	-31.09899888
1.9104407	-20.02561259
1.9125315	-26.51009053
1.9150869	-27.91470186
1.91741	-21.92978245
1.9195184	-17.33080582
1.9213746	-17.34691672
1.9232837	-13.21080277
1.9252161	-7.692685867
1.9271485	-10.94033432
1.9329458	-5.46468185
1.9347096	-6.404444694
1.9368879	-2.280088285
1.939467	-5.992682737
1.9420461	-33.64944577
1.9446251	-37.35209346
1.9473515	-25.40586149
1.9501019	-24.96960418
1.9528534	-26.83406453
1.9557113	-27.31906135
1.9589638	-22.29111954
1.9620472	-29.21438009
1.9650936	-26.94456019
1.9681399	-26.51403569
1.970907	-19.65231646
1.9730425	-18.29705814
1.9749917	-5.922875845
1.9769409	-6.40477914
1.9789032	-15.60613332
1.9808575	-7.827443726
1.9827387	-2.344346876
1.9846199	-19.33991224
1.9865012	-19.81962497
1.9883854	-17.08924417
1.9902695	-10.69144028
1.9921537	-17.13296963
1.9940357	-15.32139652
1.9959169	-19.46927551
1.997798	-16.74176897
1.9997229	-18.1398597
2.0017327	-25.48554845
2.0031395	-24.119381
2.0042239	-27.79119958
2.005597	-30.54820985
2.0069702	-27.34988361
2.0081368	-14.98932201
2.008991	-10.87270698
2.0109867	-22.33737154
2.0135613	-16.40150725
2.0168605	-7.267354579
2.0189004	-10.03052596
2.0211671	0.024560696
2.0236604	-10.06824801
2.0261554	-16.04008406
2.0284247	-12.39643305
2.0302402	-19.7360958
2.0322826	-13.34476469
2.0347783	-29.84587811
2.037045	-13.844425
2.0393116	-35.83751228
2.0415783	-12.05479537
2.0442628	-18.03113022
2.0464183	-30.87025273
2.0485698	-27.22942502
2.0511985	-30.91905274
2.0535934	-41.9332517
2.0562375	-25.02041168
2.0592282	-29.6326831
2.0616209	-31.4920231
2.064345	-27.4015091
2.0668995	-40.25895622
2.0698062	-50.83432939
2.0730412	-49.9626283
2.0772433	-27.56104703
2.0814454	-41.37281867
2.0847706	-41.42154951
2.0881112	-27.24938933
2.0904497	-22.23454639
2.0941243	-6.218968952
2.0961287	-4.866751
2.0978747	-32.44215846
2.1000583	-28.34199771
2.1022419	-22.86224454
2.1051533	-20.60756792
2.1082765	-23.87236983
2.1116851	-19.32566327
2.1154346	-31.80688111
2.1192179	-26.34661239
2.1229197	-25.0260845
2.1266215	-21.86152606
2.1303232	-9.011072833
2.134025	-8.603975998
2.1377267	-10.96653878
2.1414285	-19.33657512
2.1442822	-33.7086105
2.1465721	-38.83683976
2.1484204	-38.87354226
2.150474	-37.98937267
2.1525276	-48.67232208
2.1545811	-50.1054138
2.1566347	-45.52042767
2.1586883	-49.73270275
2.1607419	-40.51131135
2.1627969	-41.48048928
2.1648529	-34.10464255
2.1669089	-33.68087941
2.168965	-28.6170663
2.1709636	-26.33346853
2.1736224	-22.66694987
2.1762808	-18.99698533
2.1789448	-13.46457095
2.1818751	-16.30090094
2.184469	-10.29534082
2.1866904	-21.96351321
2.1891353	-19.67732365
2.1911389	-30.42240111
2.1934197	-25.33903318
2.195992	-27.71415216
2.1985604	-30.55713159
2.2011359	-27.80411937
2.203685	-18.51397716
2.2066251	-20.42741473
2.2096249	-6.927080791
2.2126247	-13.04267534
